Company,Role,Clean Location,Minimum Experience,Maximum Experience,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8
eclerx services ltd.,senior data scientist,"['mumbai', 'pune']",8,13,artificial intelligence,machine learning,python,machine learning,text analytics,natural language processing,hypothesis testing,database design
super india tech mark,data scientist,['bhopal'],0,1,java,data analysis,data mining,sql,machine learning,tableau,data analysis,c++
morningstar,hiring for lead/senior data scientist - morningstar (product based),['mumbai'],5,9,it skills,python,testing,cloud,oracle,aws,microsoft azure,data science
datacore analytics private limited,data scientist,"['mumbai', 'bangalore', 'hyderabad']",0,5,keras,python,pytorch,nlp,scikit learn,opencv,tensorflow,communication skills
bajaj finserv,lead data scientist/senior lead data scientist,['pune'],8,10,git,product management,computer science,postgresql,tibco,sdk,data analysis,financial services
bajaj finserv,senior data scientist/senior data scientist,['pune'],3,5,product management,computer science,data analysis,olap,scrum,oltp,financial services,sql
bajaj finserv,senior data scientist/senior data scientist,['pune'],3,5,product management,computer science,product quality,google analytics,agile,scrum,data privacy,seo
bajaj finserv,lead data scientist/senior lead data scientist,['pune'],8,10,product management,computer science,solution design,agile scrum,lead,manager technology,subject matter expertise,management
echoindia,data scientist / analyst - machine learning/deep learning,['delhi'],3,6,neural networks,apache superset,pytorch,pyspark,pandas,python,natural language processing,grafana
invesco,"sr. data scientist i, sip",['hyderabad'],4,9,data analysis,artificial intelligence,natural language processing,sentiment analysis,machine learning,deep learning,data science,decision forests
boston consulting group,gamma lead data scientist,"['mumbai', 'chennai', 'new delhi', 'bangalore']",7,12,data analysis,operations research,data science,data management,business analysis,consulting,management consulting,business strategy
flipkart internet private limited,senior data scientist,['california'],6,11,pytorch,tensorflow,data science,nlp,artificial intelligence,keras,computer vision,deep learning
emrit inc,senior data scientist,"['bangalore', 'delhi', 'hyderabad']",5,10,blockchain,sql,python,data engineering,power bi,microsoft power bi,natural language processing,tableau
transorg analytics,sr. data scientist - automl,['gurgaon'],5,8,artificial intelligence,computer science,big data,machine learning,statistics,data analysis,,
abzooba india infotech private limited,urgent opening for senior data scientists,['pune'],5,8,it skills,python,machine learning,artificial intelligence,big data,pyspark,time series analysis,natural language processing
shell india markets private limited,associate data scientist,"['chennai', 'bangalore']",5,8,data science,vue.js,artificial intelligence,neural networks,keras,machine learning,machine learning,python
aryng,senior data scientist,['pan india'],4,9,machine learning,sql,learning,python,machine learning,machine learning,machine learning,r
glaxosmithkline pharmaceuticals limited,global medical data scientist,['bangalore'],2,7,data science,r,text analytics,natural language processing,data analysis,calling,machine learning,statistics
philips india limited,data scientist - business analytics,['bangalore'],8,10,process automation,cloud computing,change management,operational excellence,business analysis,data analysis,consulting,data mining
schneider electric india pvt. ltd.,data scientist,['bangalore'],4,5,computer science,data analysis,automation,manager quality assurance,artificial intelligence,data analysis,mysql,machine learning
